id,name,author,date_created,medium_owned,medium_read,status,date_read,rating,genre,list,review
901,The Internet Con,Cory Doctorow,2023,PhysicalBook,PhysicalBook,read,2023-10-17 00:00:00,5,BookNonFiction,DCU,"Got this off kickstarter - the author at the time had mentioned that Amazon Audible required a really shit deal of signing over stuff and not being able to have a DRM free experience. The book is a really good 'manifesto' for what has gone wrong with the internet and digital services through rampant abuse of copyright and IP. Much of it is about interoperability - so we all can do what we want to do with stuff. I was surprised to read that the solution is really a better alignment of laws (rather than replacement or overhaul which are exhuberant and expensive) with the intention of 'interoperability' so that we get more competition and better innovation from the grassroot upwards. The book was poignant, restricted in its argument (which is a good thing), and offered a good purview of history to understand why we arrived here and what kind of backsteps we need to get out of the sinkhole. This also made me buy 2 other books from Doctorow, and to support a third on Kickstarter."
902,City of Last Chances,Adrian Tchaikovsky,2022,PhysicalBook,PhysicalBook,read,2023-11-28 00:00:00,3,BookFiction;BookSciFi,,"A fantasy book by Tchaikovsky with adult themes makes for a melancholic but interesting read. There is magic - with rules, there are demons, races, gray shaded characters, and to top it all there is the political discourse about fascism, colonialism, and anarchy. I was waiting for the big payoff - and there were certainly some interesting twists and turns, but it didn't feel there was a particular highlight as the book came to an end. There is meant to be a sequel releasing soon while I will read, but that is more because I admire Tchaikovsky's imagination and prolific writing more than the book itself."
903,A Universe from nothing,Lawrence M. Krauss,2012,PhysicalBook,PhysicalBook,read,2023-10-16 00:00:00,3,BookNonFiction,DCU;GiveAway,"This is a mixed-bag for me - on one hand the topic is interesting (dare I say 'universal') and the physics is explained in a readily accessible way; on the other hand there is much ado about 'nothing'. I get that the intention of the author is to point out how a universe can arise from 'nothingness' in the sense of energy and mass, and why this doesn't need an intelligent creator - pointing to a similar aha moment in biology when evolution was discovered. But if its intention was to give a metaphysical consideration, it merely touches upon the subject (and I'm the already convinced) rather than have a clearer and cleaner picture. I still liked reading about the aspects of how 'nothing' in space is being still pondered upon in terms of physics - dark matter and dark energy."
904,Technofeudalism: What Killed Capitalism,Yanis Varoufakis,2023,PhysicalBook,PhysicalBook,read,2023-11-01 00:00:00,5,BookNonFiction,educational;DCU,"A book that tells about the history of economics, capital, technology, the internet, and the rise of cloud - in a way that is easy to explore, understand, and think about. Whilst I have no qualifications to make statements regarding the validity of the conclusion in terms of alternative models - I acknoledge the vastly important existence of such debates and that I have learned, through this book, the proper tools with which to think about it. It is easy to state that power is concentrated in cloud, but difficult to explain how historiacally this changes things and more importantly what we need to understand about the way money works to understand the implications of a 'virtual capital'. Technofeudalism is what the concept is called where we are locked in a cloud serfdom, unable to escape, and stuck paying 'value rents' to the lords. Reading this soon after The Internet Con was a good follow-up because I could see a lot of its solutions as being necessary and pragmatic in the face of what this book explores."
905,The Thrilling Adventures of Lovelace and Babbage,Sydney Padua,2015,PhysicalBook,PhysicalBook,read,2024-02-03 00:00:00,5,BookFiction;BookSciFi,,"A really fun adventure based on the fictional reality where Lovelace and Babbage use tech to do stuff. The art style was cool and detailed, and there was enough variety to keep things moving. That someone made this book is a nice thing, and it was not expensive at all."
906,The Blind Assassin,Margaret Atwood,2000,PhysicalBook,PhysicalBook,read,2024-06-12 00:00:00,3,BookFiction,DCU;GiveAway,"The language used here is nice - phrases that are poetic and contemplative. But the story itself isn't appealing. Its too slow, too much caught up into these specific lives that don't interest me. And the pacing is super slow. Would have been a nicer book had it been half its size. Though I can see the appreciation with the Booker - the writing and the embedding of stories within stories within stories is quite clever."
907,Cat's Eye,Margaret Atwood,1988,PhysicalBook,PhysicalBook,read,2024-02-02 00:00:00,4,BookFiction,,"This book is unusual because it focuses on the rare topic of female friendships and dynamics - and largely does not trivialise their importance in the story by including men. At the same time, it isn't fantasy but a keen observation of childhood and what social relationships do to a child's mind and how it lasts much much longer than we think without realising what and why we do what we do. Atwood is a master craftsmen - from science fiction to dystopian societies - she has a keen grasp on what it means to be a part of society. And in this case, the reflections are upon what one does and experiences in the 'formative years' and its visceral impact into the adulthood lives. Good read, though a tad depressing because of the realities of the story and experience."
908,The Private Lives of Trees,Alejandro Zambra,2010,PhysicalBook,PhysicalBook,read,2023-10-28 00:00:00,4,BookFiction,,"A short book (novella) that chronicles a slice of life in the day of a father putting his step-daughter to sleep while awaiting for his wife to return. The stream of consciousness style narration of events that run within this time frame are nothing significant or worthy of theatre, but instead reflect the thoughts and simple-minded awareness that each of us has when we unknowlingly think of our past and what it has led to in our present. An easy to miss style of writing that is poignant that doesn't rely on hidden meanings."
909,Paradais,Fernanda Melchor,2021,PhysicalBook,PhysicalBook,read,2023-11-06 00:00:00,4,BookFiction,cork,"A new voice with an interesting way of writing and describing what is essentially two almost adults wrecking havoc on their own lives. Enjoyed reading this, even if it could be considered off putting, I enjoyed it in the same vein as Palahniuk would be considered enjoyable. Looking forward to reading more from the author in the future."
910,The Algebraist,Iain M. Banks,2004,PhysicalBook,PhysicalBook,read,2024-01-26 00:00:00,4,BookFiction;BookSciFi,,"The title of the book made me think this is something to do with maths. It isn't - not really. But the story itself is based on some mathematical concepts. There's a galactic civilisation, portals, respecting light-speed, alien cultures, and then there is the hunt for treasure. This is an adventure book that made me wish there was more material about the world and its technologies and its development and use. There's a scene where the villain (trying not to spoil things here) describes what feels like an unnecessary sexual action - which is jarring because it is not expected and is at odds with the level of details not found in the rest of the novel. Other than that, interesting read."
911,Mild Vertigo,Mieko Kanai,2023,PhysicalBook,PhysicalBook,read,2024-07-06 00:00:00,4,BookFiction,,This book is a modern character study on the mediocre life of a Japanese housewife. Excellent writing and an amazing way of present the 'wall of text' or 'stream of consciousness' approach where sentences never end and an entire story is told. Nothing spectacular happens - which is how life goes by most of the time.
912,Diary,Chuck Palahniuk,2003,PhysicalBook,PhysicalBook,read,2023-12-04 00:00:00,4,BookFiction;BookSciFi,,"A(nother) shock-horror novel by Palahniuk that offers more disgusting, revolting, and profane ideas in an entertaining package. The story itself didn't make much sense - in being realistic, but this would be a good movie or TV show you watch for the 'vibe'."
913,Bitch: What does it mean to be female?,Lucy Cooke,2023,PhysicalBook,PhysicalBook,read,2023-11-02 00:00:00,5,BookNonFiction,educational,"The equivalent of a jaw dropping tour de force documentary. I literally went ""WOW!"", ""that's amazing"", or ""that's so cool"" - so many times even while on the same page. This book is dense with amazing knowledge that does a really good job of highlighting how limiting the science has been because of prudish attitudes and male centric perspectives. I was delighted to read and learn how diversity - including female - leads to better understanding, and that nature is feminist and has amazing fluidity and variety only if we are careful in looking."
914,Black Holes: The key to understanding the universe,Brian Cox and Jeff Forshaw,2022,PhysicalBook,PhysicalBook,read,2023-11-22 00:00:00,3,BookNonFiction,DCU,"Black holes are fascinating - pushing the boundary between reality, science, and imagination. Based on this premise I picked this book upon coming across it in the book shop. Famous name for making science easy and online reviews complaining the book is not beginner friendly were positive reasons to buy it. I have read through several physics books at this point - and unfortunately this book is indeed severely dense at places by assuming people 'just get it' when described and whipping up equations that would be at home in a physics textbook. I much rather prefer the explanatory discourse that walks us through things to me scientific thinking more 'accessible' rather than text that says 'look how cool science is' with complex things."
915,The Lost Bookshop,Evie Woods,2023,PhysicalBook,PhysicalBook,read,2023-11-15 00:00:00,3,BookFiction,DCU,"Picked this up because I like books, ergo I like bookshops, and 'book hunting' is something that resonates with me. The story is about a lost bookshop and how it shapes the lives of three characters. Its set in Dublin, featuring someone who is doing a PhD, there's mention of Trinity and Ha'Penny and other local areas - so of course I picked it up and gave it a go. Was an okay book, enjoyable as a sort of sheepish TV movie that I wouldn't otherwise go for. The bibliophilia is what enticed me."
916,The Lost Cause,Cory Doctorow,2023,EBook,EBook,read,2025-12-22 00:00:00,3,BookFiction;BookSciFi,,"I didn't know this book was YA (Young Adult), so while reading it I constantly kept being annoyed by the language and the juvenile characters. When I found out, I changed my perspective about. Overall, its a good optimistic story set in a rough time, where the government has got its bearings on correct, and everything is green and clean. Still, not a great book. Might have been interesting when I was younger and not as matured."
917,Own this!: How platform cooperatives help workers build a democratic Internet,R. Trebor Scholz,2023,EBook,EBook,read,2025-12-21 00:00:00,2,BookNonFiction,,"The topic is of great interest to me, however the book never really gets into an exploration of how co-operatives work or what challenges they face. We get lots and lots of examples and mentions without any real takeaways. At times it felt unnecessary to see blockchain mentioned in places without exploring all the other governance mechanisms. Not recommended for reading."
