Year,Author,Novel,Publisher,Ref.
2020,Kameron Hurley,The Light Brigade,"Saga Press, Angry Robot",
2020,Arkady Martine,A Memory Called Empire,Tor Books,
2021,Laura Jean McKay*,The Animals in That Country,Scribe,
2021,Patience Agbabi,The Infinite,Canongate Books,
2021,Simon Jimenez,The Vanished Birds,Titan Books,
2021,Hao Jingfang,Vagabonds,Head of Zeus,
2021,RB Kelly,Edge of Heaven,NewCon Press,
2021,Valerie Valdes,Chilling Effect,Orbit Books,
2022,Harry Josephine Giles*,Deep Wheel Orcadia,Picador,
2022,Arkady Martine,A Desolation Called Peace,Tor UK,
2022,Kazuo Ishiguro,Klara and the Sun,Faber and Faber,
2022,Courttia Newland,A River Called Time,Canongate Books,
2022,Aliya Whiteley,Skyward Inn,Solaris Books,
2022,Mercurio D. Rivera,Wergen: The Alien Love War,NewCon Press,
2023,Ned Beauman*,Venomous Lumpsucker,Hodder & Stoughton,
2023,E. J. Swift,The Coral Bones,Unsung Stories,
2023,Tom Watson,Metronome,Bloomsbury,
2023,Hervé Le Tellier,The Anomaly,Michael Joseph,
2023,Aliette de Bodard,The Red Scholar's Wake,Gollancz Books,
2023,Lucy Kissick,Plutoshine,Gollancz Books,
2024,Martin MacInnes*,In Ascension,Atlantic Books,
2024,Nana Kwame Adjei-Brenyah,Chain-Gang All-Stars,Harvill Secker,
2024,Isabel Waidner,Corey Fah Does Social Mobility,Hamish Hamilton,
2024,Ray Nayler,The Mountain in the Sea,Weidenfeld & Nicolson,
2024,Emily Tesh,Some Desperate Glory,Orbit Books,
2024,Lavanya Lakshminarayan,The Ten Percent Thief,Solaris Books,
2025,Sierra Greer*,Annie Bot,The Borough Press,
2025,Ian Green,Extremophile,Head of Zeus,
2025,Kaliane Bradley,The Ministry of Time,Sceptre,
2025,Julia Armfield,Private Rites,Fourth Estate,
2025,Adrian Tchaikovsky,Service Model,Tor Books,
2025,Maud Woolf,Thirteen Ways to Kill Lulabelle Rock,Angry Robot,
2026,Matt Dinniman,Dungeon Crawler Carl,Michael Joseph,
2026,Laila Lalami,The Dream Hotel,Bloomsbury Circus,
2026,Silvia Park,Luminous,Magpie,
2026,qntm,There Is No Antimemetics Division,Del Rey,
2026,E.J. Swift,When There Are Wolves Again,Arcadia,
2026,Lorraine Wilson,The Salt Oracle,Solaris,
