Year,Author,Novel,Publisher or publication,Ref.
1989,John Kessel,Good News From Outer Space,Tor Books,
1989,Mike Resnick,Ivory: A Legend of Past and Future,Tor Books,
1989,Jane Yolen,"Sister Light, Sister Dark",Tor Books,
1990,Ursula K. Le Guin*,Tehanu: The Last Book of Earthsea,Macmillan Publishers,
1990,Valerie Martin,Mary Reilly,Doubleday Foundation,
1990,James K. Morrow,Only Begotten Daughter,Doubleday,
1990,Dan Simmons,The Fall of Hyperion,William Morrow and Company,
1990,John E. Stith,Redshift Rendezvous,Ace Books,
1990,Jane Yolen,White Jenna,Tor Books,
1991,Michael Swanwick*,Stations of the Tide,Asimov's Science Fiction,
1991,John Barnes,Orbital Resonance,Tor Books,
1991,Lois McMaster Bujold,Barrayar,Analog Science Fact & Fiction,
1991,Emma Bull,Bone Dance,Ace Books,
1991,Pat Cadigan,Synners,Bantam Spectra,
1991,Bruce Sterling,The Difference Engine,Bantam Spectra,
1991,William Gibson,The Difference Engine,Bantam Spectra,
1992,Connie Willis*,Doomsday Book,Bantam Spectra,
1992,John Barnes,A Million Open Doors,Tor Books,
1992,Karen Joy Fowler,Sarah Canary,Henry Holt and Company,
1992,Maureen F. McHugh,China Mountain Zhang,Tor Books,
1992,Vernor Vinge,A Fire Upon the Deep,Tor Books,
1992,Jane Yolen,Briar Rose,Tor Books,
1993,Kim Stanley Robinson*,Red Mars,Bantam Spectra,
1993,Kevin J. Anderson,Assemblers of Infinity,Analog Science Fiction and Fact,
1993,Doug Beason,Assemblers of Infinity,Analog Science Fiction and Fact,
1993,Algis Budrys,Hard Landing,Fantasy & Science Fiction,
1993,Nancy Kress,Beggars in Spain,Morrow AvoNova,
1993,Gene Wolfe,Nightside the Long Sun,Tor Books,
1994,Greg Bear*,Moving Mars,Tor Books,
1994,Octavia E. Butler,Parable of the Sower,Four Walls Eight Windows,
1994,Jonathan Lethem,"Gun, with Occasional Music",Harcourt Brace,
1994,James K. Morrow,Towing Jehovah,Harcourt Brace,
1994,Rachel Pollack,Temporary Agency,St. Martin's Press,
1994,Kim Stanley Robinson,Green Mars,Bantam Spectra,
1994,Roger Zelazny,A Night in the Lonesome October,Morrow AvoNova,
1995,Robert J. Sawyer*,The Terminal Experiment,HarperPrism,
1995,John Barnes,Mother of Storms,Tor Books,
1995,Nancy Kress,Beggars and Choosers,Tor Books,
1995,Paul Park,Celestis,Tor Books,
1995,Walter Jon Williams,Metropolitan,HarperPrism,
1995,Gene Wolfe,Calde of the Long Sun,Tor Books,
